OBJECTID,Site_Code,latitude,longitude,first_date,last_date
65164,F10380,-6.51559857994792,54.7533032617024,1991-12-10,1994-08-10
65748,F10382,-6.55453879302376,54.7589574396866,1994-08-10,2004-07-22
65868,F10382,-6.55453879302376,54.7589574396866,2004-07-22,1996-10-27
66034,F10383,-6.62003965822064,54.7966167054394,1996-10-27,2008-06-02
66172,F10383,-6.62003965822064,54.7966167054394,2008-06-02,2006-09-01
66587,F10386,-6.53725175883893,54.686923879512,2006-09-01,2006-09-01
66587,F10386,-6.53725175883893,54.686923879512,2006-09-01,1994-04-22
67560,F10397,-6.26407442787609,54.6607483981462,1994-04-22,1994-07-07
67563,F10397,-6.26407442787609,54.6607483981462,1994-07-07,2004-06-24
68264,F10402,-6.50269548649232,54.6192741230115,2004-06-24,2004-06-24
68264,F10402,-6.50269548649232,54.6192741230115,2004-06-24,2007-02-08
69186,F10412,-6.67352722150276,55.1452292034803,2007-02-08,2008-02-12
69198,F10412,-6.67352722150276,55.1452292034803,2008-02-12,1991-03-27
71139,F10429,-6.53956919164903,54.9582611765755,1991-03-27,1991-03-27
71139,F10429,-6.53956919164903,54.9582611765755,1991-03-27,1990-12-06
71805,F10431,-6.4640692348496,54.7555632199594,1990-12-06,1990-12-06
71805,F10431,-6.4640692348496,54.7555632199594,1990-12-06,1990-02-15
72214,F10432,-6.57153125385244,55.0530660785889,1990-02-15,1997-12-12
72355,F10432,-6.57153125385244,55.0530660785889,1997-12-12,1990-02-15
72593,F10433,-6.50559390302851,55.0705825822229,1990-02-15,2002-04-16
72786,F10433,-6.50559390302851,55.0705825822229,2002-04-16,1995-11-27
72929,F10434,-6.60756987141623,55.053941891544,1995-11-27,2002-05-14
73006,F10434,-6.60756987141623,55.053941891544,2002-05-14,1990-05-29
73194,F10435,-6.58268346843796,55.0412485675494,1990-05-29,1991-11-18
73210,F10435,-6.58268346843796,55.0412485675494,1991-11-18,1990-05-29
73671,F10438,-6.50034757018666,54.8728878573704,1990-05-29,1991-03-27
73681,F10438,-6.50034757018666,54.8728878573704,1991-03-27,2004-02-10
80414,F10447,-6.55517690117279,55.1304083779274,2004-02-10,2014-05-06
