Site_Code,latitude,longitude,first_date,last_date
F10370,-6.67997399360878,54.8373414841394,2000-03-08,2018-12-04
F10371,-6.65560174045276,54.7796955590542,2000-03-08,2016-10-04
F10372,-6.52294929746223,54.7476523412387,2000-03-08,2009-03-31
F10373,-6.76307779116802,54.8106825293046,2000-01-07,2018-12-04
F10374,-6.83242236723468,54.7776009159877,2000-01-07,2018-12-04
F10375,-6.81052283352791,54.7819067985365,2000-01-07,2015-09-17
F10376,-6.79696704526047,54.7997849786638,2000-01-07,2018-12-04
F10377,-6.79654902191349,54.8117557874609,2000-01-07,2018-12-04
F10378,-6.8704991744514,54.7836929344998,2000-01-07,2018-12-04
F10379,-6.6758329311008,54.7684280493821,2000-03-08,2018-12-04
F10380,-6.51559857994792,54.7533032617024,1990-01-03,2018-12-04
F10381,-6.69810851049381,54.8193906050944,1993-02-12,2009-07-30
F10382,-6.55453879302376,54.7589574396866,1993-02-12,2018-12-04
F10383,-6.62003965822064,54.7966167054394,1993-02-12,2018-12-04
F10384,-6.63939097495634,54.8144073125255,1993-02-12,2018-12-04
F10386,-6.53725175883893,54.686923879512,2000-01-07,2018-11-19
F10387,-6.25160078865152,54.5487931174794,2000-01-21,2018-11-29
F10388,-6.51025047259487,54.6387549516619,2000-03-08,2012-09-20
F10389,-6.53198699630421,54.7073256041512,2000-03-08,2012-10-05
F10390,-6.27889758543091,54.5267054259711,2001-03-23,2012-10-18
F10391,-6.25821995507094,54.7330511367214,2000-03-22,2012-10-30
F10392,-6.2498055289982,54.5661702008939,2001-03-23,2012-10-18
F10393,-6.24826990173083,54.571691423411004,2001-03-23,2018-07-24
F10394,-6.61248260671685,54.5516572701523,2000-03-08,2012-09-20
F10395,-6.36237975521625,54.7037774244154,1998-09-01,2018-12-06
F10396,-6.22391093431431,54.6808301610639,1993-03-24,2018-11-29
F10397,-6.26407442787609,54.6607483981462,1993-03-24,2012-11-22
F10398,-6.30115268375425,54.5695526981356,2004-01-15,2018-11-29
F10399,-6.34338085980889,54.5291695074079,1998-09-01,2018-12-06
F10401,-6.60660836286856,54.5326513373833,1998-09-01,2007-02-28
F10402,-6.50269548649232,54.6192741230115,1998-09-01,2018-12-06
F10403,-6.61237288039714,54.8796458454693,2001-03-21,2009-03-31
F10404,-6.59863790481003,54.8668661538955,2000-01-18,2018-11-26
F10405,-6.668552090639,54.8977477054263,2000-01-18,2003-12-02
F10406,-6.51482985655826,54.8992982594384,2000-01-18,2018-11-27
F10408,-6.48712281839259,54.8890652302946,2001-03-21,2009-03-31
F10409,-6.45384851514513,55.085720367979,2000-01-19,2018-11-27
F10410,-6.50074075623575,54.791769069747,2001-03-21,2009-03-31
F10411,-6.76532341628014,54.9531280500621,2000-01-18,2018-11-26
